Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Edinburgh South West,S14000025,14.3,15.7,86,9,:,67,7,13.8,22000,247.2
Edinburgh West,S14000026,18.6,20.2,86,5.1,:,75.5,2.2,12.5,23000,260.8
Na h-Eileanan An Iar,S14000027,22.9,24.3,81.7,0.9,:,79.6,6.1,18.1,22600,392.3
Falkirk,S14000028,17.1,18.7,82,2.1,:,73.5,6.6,18.5,21600,213
Glasgow Central,S14000029,9.9,10.5,79.8,24.2,:,61.3,5.7,17.3,22000,715.8
Glasgow East,S14000030,15.7,16.7,72.9,3.6,:,70.2,10.4,25.8,18700,177.8
Glasgow North,S14000031,11.5,12.4,83,13.4,:,61.7,8.7,13.3,23000,253.7
Glasgow North East,S14000032,15.2,16,72.8,10.8,:,60.5,5.8,40.9,19300,141.7
Glasgow North West,S14000033,15.1,15.6,78.1,8.3,:,67.4,11.4,22.5,20500,156.4
Glasgow South,S14000034,15,16,80.4,11.2,:,72.6,9.7,14.7,21900,182.2
Glasgow South West,S14000035,14.9,15.5,76.2,9.2,:,61.8,10.5,25.9,18300,148.1
Glenrothes,S14000036,18.4,20.5,79,1.8,:,66.7,9.5,25.5,18500,174.9
Gordon,S14000037,16.9,18.8,88.2,2.5,:,78.9,3.3,8.4,25700,508.5
Inverclyde,S14000038,19.2,20.6,78.8,1.4,:,69.3,7.5,24.4,19000,183
Inverness Nairn Badenoch and Strathspey,S14000039,18,19.5,85.2,1.9,:,74.3,4.4,20.9,20400,349
Kilmarnock and Loudoun,S14000040,18.4,20.3,80.7,1.3,:,68.1,11.4,22.8,19400,238
Kirkcaldy and Cowdenbeath,S14000041,19.2,20.8,80.3,2.3,:,67.1,8.7,24,20100,203.9
Lanark and Hamilton East,S14000042,19.1,21.2,79.8,1.8,:,70.2,6.9,17.3,20700,290.6
Linlithgow and East Falkirk,S14000043,16.5,18,82.2,1.5,:,75.7,5.9,19.2,19100,225.2
Livingston,S14000044,14.4,16.1,83.2,3,:,73.8,6.9,21.9,19600,216.5
Midlothian,S14000045,17.9,19.8,82.9,1.8,:,74,5.9,23.1,19200,238.5
Moray,S14000046,19.6,20.9,85,1.1,:,77.5,5,16.4,20100,311.1
Motherwell and Wishaw,S14000047,16.3,17.6,78.8,2.5,:,68.2,10.5,22.5,20500,168.5
North Ayrshire and Arran,S14000048,21.4,23.3,79.5,1,:,67.4,9,23.1,20400,220.3
North East Fife,S14000049,21.5,22.9,84.8,3.5,:,78.4,4.3,14.2,22800,308.7
Ochil and South Perthshire,S14000050,19.7,21.7,84,1.5,:,72,7.3,18.4,21100,318.6
Orkney and Shetland,S14000051,19.4,20.7,86,1.1,:,83.6,3.7,14.2,20300,615.4
Paisley and Renfrewshire North,S14000052,17.9,19.8,81.8,2.8,:,74.6,5.8,21.7,20100,256.6
Paisley and Renfrewshire South,S14000053,17.9,19.2,79.6,2.6,:,68.7,8.6,23.3,20400,203.6
Perth and North Perthshire,S14000054,21.3,22.8,84.8,2.3,:,76.5,4.6,19.8,20200,348.5
Ross Skye and Lochaber,S14000055,21.1,22.6,84.3,1.1,:,78.7,2.2,21.7,20000,508.3
Rutherglen and Hamilton West,S14000056,15.9,17.5,79,3,:,71.3,8.9,25.1,21000,179.1
Stirling,S14000057,18.2,19.5,84.7,3.2,:,72.6,5.7,15.9,21900,391.7
West Aberdeenshire and Kincardine,S14000058,16.5,18,89,2,:,82.9,3.4,7.3,27600,544.5
West Dunbartonshire,S14000059,17.3,19.1,77.8,1.6,:,65.2,9.1,24,20000,172.6
Ynys Mon,W07000041,23.7,24.9,78.6,1.8,"142,750",69.1,6.7,24.5,19300,326.7
Delyn,W07000042,20.6,23.2,80.3,1.2,"130,000",68.6,7.3,21.8,20800,315.7
Alyn and Deeside,W07000043,17.9,19.8,81.8,1.8,"141,995",72.9,5.9,23.2,19700,275.1
Wrexham,W07000044,18.5,20.2,80,4.3,"130,000",72.1,6.1,24.3,19600,278.8
Llanelli,W07000045,20.4,22,74,2.1,"100,000",69.1,7.9,29.7,18800,201.8
Gower,W07000046,22.4,24.3,79.1,2.1,"150,000",74.5,5.8,22.3,19800,261.6
Swansea West,W07000047,17.9,19.2,78.7,10.6,"135,000",58,12.5,19.5,19800,242.3
Swansea East,W07000048,16.4,18.2,76,5.1,"99,999",72.2,6.7,31.6,18900,184.9
Aberavon,W07000049,19.1,21.2,72.8,2.4,"95,000",65.9,9.9,26.2,19900,182.8
Cardiff Central,W07000050,10.6,11.5,84.6,19.3,"165,625",53.3,7.4,19,20000,287
Cardiff North,W07000051,17.3,18.9,82.9,9.1,"191,500",76.7,7,14.1,22700,242.9
Rhondda,W07000052,19.6,21,70.6,1.9,"62,000",63.5,11.4,31.5,17200,141.5
Torfaen,W07000053,18.1,19.9,75.8,2,"117,000",67,10,27.1,18200,196.3
Monmouth,W07000054,23.6,25.4,79.4,2.1,"185,000",73.9,5.5,18.1,22200,446.6
Newport East,W07000055,16.6,18.1,78.7,8.3,"131,500",69.2,8.7,29.5,19000,204.3
Newport West,W07000056,18.1,19.7,78.9,9.9,"139,998",69.2,7.4,24.6,21100,240.4
Arfon,W07000057,16.8,17.9,82.7,5.6,"130,000",70.8,5.2,24.6,19300,277.3
Aberconwy,W07000058,25.5,26.8,79.2,2.2,"155,000",72,5.7,29.1,20100,347.7
Clwyd West,W07000059,25.2,26.1,77.5,2.4,"136,750",73.6,3.4,26.3,19600,391.1
Vale of Clwyd,W07000060,22,24.6,76.6,2.9,"121,000",67.8,8.1,29.7,19500,274.5
Dwyfor Meirionnydd,W07000061,26.9,27.2,79.4,1.4,"145,000",67,6.1,25.3,18900,529.8
Clwyd South,W07000062,18.6,20.2,79.4,1.8,"129,995",71.5,4.4,24.7,18400,281
Montgomeryshire,W07000063,23.1,25.3,80,1.1,"150,000",79.1,1.5,23.6,17400,639.8
Ceredigion,W07000064,22,23.3,79.2,3.3,"162,000",64.4,3.4,23.3,18700,504.8
Preseli Pembrokeshire,W07000065,22.6,23.9,78.8,1.9,"140,000",71.7,5.7,29.2,18200,436.9
Carmarthen West and South Pembrokeshire,W07000066,23.4,25,77.2,2.1,"158,000",68.1,5.3,27.2,19700,464.6
Carmarthen East and Dinefwr,W07000067,23.9,25.8,75.3,1.4,"130,000",68,7.8,23.3,20700,511.2
Brecon and Radnorshire,W07000068,26.1,27.9,78,2.1,"168,000",75.7,3.5,21.4,19200,615.8
Neath,W07000069,20.2,22.3,73.8,1.5,"102,000",69.6,6,25.7,19600,188.6
Cynon Valley,W07000070,18.4,20.3,73.1,2.1,"75,000",64.6,9.5,32.1,16400,166.1
Merthyr Tydfil and Rhymney,W07000071,17.6,19.4,72.1,2.1,"82,000",64,9.6,30.6,18700,169.8
Blaenau Gwent,W07000072,18.8,20.3,72.6,1.5,"72,000",64.5,12.9,28.9,17800,149.7
Bridgend,W07000073,19.6,21.3,77.8,2.8,"145,000",72.1,6.3,21.8,19900,261.9
Ogmore,W07000074,17.2,19.6,74.6,1.5,"114,500",69.1,7.4,28.1,18300,184.8
Pontypridd,W07000075,17.5,19.2,78.4,3.8,"122,000",75.5,6.3,17.9,19500,242.5
Caerphilly,W07000076,17,18.9,75.7,1.9,"125,000",70.8,8.5,26.5,18900,197.1
Islwyn,W07000077,18.6,20.4,74.8,1.5,"99,999",67.6,5.9,27.2,18800,191.1
Vale of Glamorgan,W07000078,19.2,21.1,79.9,3.2,"165,000",70.3,8.7,23.9,20500,283.2
Cardiff West,W07000079,15,16.5,79.3,12.5,"166,000",73.4,5,23.2,21000,236.6
Cardiff South and Penarth,W07000080,13.9,15,79.1,16.7,"147,000",71.6,4.5,28.1,20300,292.1
Belfast East,N06000001,17.4,18.3,77.5,2.9,:,:,:,:,20100,225.1
Belfast North,N06000002,16.1,17.3,73.2,2.2,:,:,:,:,18200,188.3
Belfast South,N06000003,13.7,14.4,82.8,5.8,:,:,:,:,22800,371.7
Belfast West,N06000004,12.9,13.8,72.5,1.8,:,:,:,:,17400,137.5
East Antrim,N06000005,17,18.5,80.2,1.5,:,:,:,:,21400,231.7
East Londonderry,N06000006,16,17.1,80.2,1.2,:,:,:,:,19100,334.6
Fermanagh and South Tyrone,N06000007,14.8,13.8,81.2,1.7,:,:,:,:,18300,629.1
Foyle,N06000008,12.7,13.9,77.7,1.8,:,:,:,:,18000,256.5
Lagan Valley,N06000009,16.6,17.7,82,1.8,:,:,:,:,21200,398
Mid Ulster,N06000010,13.2,14.1,80,1,:,:,:,:,20200,556.3
Newry and Armagh,N06000011,13.8,14.9,80.5,1,:,:,:,:,18200,467.5
North Antrim,N06000012,16.9,18.1,80.7,0.9,:,:,:,:,18600,438.5
North Down,N06000013,19.8,21.8,81.4,1.8,:,:,:,:,21500,243.1
South Antrim,N06000014,14.5,16,82.5,1.7,:,:,:,:,21300,326.8
South Down,N06000015,14.3,15.5,81.5,0.9,:,:,:,:,19600,491.7
Strangford,N06000016,17.7,19.5,80.1,1,:,:,:,:,19800,353.3
Upper Bann,N06000017,14.2,15.4,79.2,1.9,:,:,:,:,19400,287.2
West Tyrone,N06000018,14.4,15.4,77.1,0.8,:,:,:,:,17700,557.4
