Parliamentary constituency name,Parliamentary constituency code,Proportion of usual resident population 65 years and over1,State Pension claimant rate2,General good health rate3,Proportion of the population identified as non-white4,Median house price (£)5,Employment rate aged 16-646,Unemployment rate aged 16 years plus7,Families receiving child or working tax credit as a percentage of households8,Median personal income (£)9,Number of  businesses per 10000 residents10
Elmet and Rothwell,E14000689,22.2,24.7,81.9,2.9,"175,000",79.5,3.9,14.3,21400,368.1
Eltham,E14000690,14.8,15.7,81.2,23.4,"250,000",70.1,8.3,24.6,23900,245.7
Enfield North,E14000691,12.6,13.6,82,32.5,"249,995",72.7,4.9,32.3,22800,270.5
Enfield Southgate,E14000692,15.4,16.3,83.2,30,"335,000",75.4,6.9,23.1,25700,467.2
Epping Forest,E14000693,18.4,19.9,83.1,11.3,"300,000",71.1,6.2,14.1,25700,471.6
Epsom and Ewell,E14000694,18.7,20,86,12.1,"350,000",77.2,:,10.9,26600,403
Erewash,E14000695,18.3,19.9,79.1,3.2,"117,000",75.8,10.5,23.1,19100,272.8
Erith and Thamesmead,E14000696,10.2,10.8,83.3,42.2,"182,000",65.7,12.4,30.5,21700,228.4
Esher and Walton,E14000697,17.3,18.1,87.2,9.5,"430,000",78.8,4.6,11.2,30400,544
Exeter,E14000698,15.2,16.6,83.1,7.3,"182,000",80.3,3.2,18.2,19800,285
Fareham,E14000699,20.8,22.7,84.1,3.4,"210,000",83.6,:,12.5,22600,358.2
Faversham and Mid Kent,E14000700,19.7,21.6,82.7,3.4,"216,000",79.2,:,17.6,22700,402.1
Feltham and Heston,E14000701,10.7,11.2,82.5,55.1,"236,000",73.5,6.6,31.4,20200,285.1
Filton and Bradley Stoke,E14000702,15.5,16.7,84.7,8.3,"190,000",80.3,4.8,15.2,23300,296.2
Finchley and Golders Green,E14000703,13.9,13.8,85.1,33.5,"435,000",70.1,6.5,18.2,27400,640.3
Folkestone and Hythe,E14000704,22.7,24.1,78.5,5.2,"181,000",79.5,5.6,23.1,20000,305.2
Forest of Dean,E14000705,22.4,25,80.3,1.5,"170,000",79,3.8,19.1,19000,435.1
Fylde,E14000706,24.7,26.9,79,2.7,"165,000",76,:,18.7,21100,368.9
Gainsborough,E14000707,22.6,24.8,79.9,1.8,"142,500",77,2.7,19.1,20400,371.6
Garston and Halewood,E14000708,18.4,19.9,76.7,5.5,"134,995",59,15.5,27.2,21500,197.6
Gateshead,E14000709,16.3,17.4,75.7,5.7,"117,850",67.7,9.2,25.4,19200,234.3
Gedling,E14000710,18.6,20.8,80.2,7.6,"125,000",68.7,4.1,24.6,20300,233.5
Gillingham and Rainham,E14000711,16,17.8,81.9,10.4,"159,000",72.6,9.2,25,21300,211.8
Gloucester,E14000712,15.2,16.7,81.8,11.4,"145,000",78.9,6,24.2,20400,256.3
Gosport,E14000713,19.9,21.9,81.5,3.3,"160,000",72.4,4.5,21,22100,208.9
Grantham and Stamford,E14000714,20,21.9,81.8,2.8,"151,498",76.7,3.4,18.3,20300,363.3
Gravesham,E14000715,16.8,18.1,81.5,17.2,"188,000",76.8,4,25.5,22900,285.3
Great Grimsby,E14000716,16.3,17.7,78.7,2.9,"95,000",64.4,10.7,31,18500,226.4
Great Yarmouth,E14000717,22.5,24.2,76.3,3.1,"135,000",77.2,3.5,28.2,17500,278.1
Greenwich and Woolwich,E14000718,8.5,8.4,84.2,41.4,"325,000",63.5,11.2,26.2,23500,333.6
Guildford,E14000719,16.2,17.2,87.2,10.2,"320,000",74.6,5,10.2,27800,476.2
Hackney North and Stoke Newington,E14000720,7,7,83.7,42.3,"365,000",65.5,12.4,36.9,24700,389.5
Hackney South and Shoreditch,E14000721,7.3,7.5,82,48.7,"387,000",69.7,7,27.9,24200,613.9
Halesowen and Rowley Regis,E14000722,19.4,21.2,78.2,10.9,"130,000",71.2,7.5,24.4,18900,280.7
Halifax,E14000723,15.9,16.9,79.9,17.3,"105,000",71.6,7.2,30.9,17700,282.9
Haltemprice and Howden,E14000724,23.1,25.1,82.7,2.8,"161,000",81.9,4.2,11.8,23300,377.9
Halton,E14000725,16.9,18.4,78,2,"121,995",70.1,6.3,29.5,19800,225.9
Hammersmith,E14000726,9.4,9.7,84.7,36.7,"455,000",76.8,4.8,18.2,25400,564.9
Hampstead and Kilburn,E14000727,11.7,10.7,85.4,34.5,"585,000",75.7,6.7,15.9,32600,568.7
Harborough,E14000728,20.2,21.8,83,17.1,"165,000",83.5,3.7,18.2,22100,388.2
Harlow,E14000729,16.2,17.5,81.3,10.1,"185,000",79.8,5.2,23.1,20900,334.4
Harrogate and Knaresborough,E14000730,20.6,21.8,84.1,4.3,"210,000",75.6,4.6,14.6,21400,449.1
Harrow East,E14000731,15.2,15.1,82.4,60.8,"340,000",71.7,6.4,23.8,22700,427.9
Harrow West,E14000732,12.4,12.5,84.4,59.9,"300,000",70.7,8,22.4,24000,455.5
Hartlepool,E14000733,18,19.6,76,2.3,"115,495",62.6,13.4,28.3,19500,212.6
Harwich and North Essex,E14000734,22.9,25.1,81.4,3.8,"187,500",74.8,6.3,16,20900,406
Hastings and Rye,E14000735,20.5,22,76.8,5.6,"170,000",69.2,7.3,28.4,18500,297.9
Havant,E14000736,22,23.9,79.7,2.9,"195,500",67.3,4.6,24.7,19300,281.8
Hayes and Harlington,E14000737,9.8,10,83.2,56.6,"240,750",69.6,8,33.1,19400,275.4
Hazel Grove,E14000738,22.8,24.8,80.2,3.3,"170,000",78,4.3,19.9,21500,327.2
Hemel Hempstead,E14000739,15.5,16.7,83.3,11.2,"230,000",81.3,5.1,18,23200,398.6
Hemsworth,E14000740,19.1,20.7,75.1,3.3,"117,500",75,5.7,26.1,19500,200
Hendon,E14000741,11.8,12.1,84.3,45.1,"297,000",71.1,5.2,27.7,23800,442
Henley,E14000742,21.4,22.6,86.1,3.6,"345,000",74.2,6.3,8.9,24700,637
Hereford and South Herefordshire,E14000743,20.3,22.2,80.8,2.1,"168,000",77.3,5.2,22.9,18900,441
Hertford and Stortford,E14000744,15.8,17.2,86.2,5.1,"250,000",82.6,4,11.2,25500,485.6
Hertsmere,E14000745,17.3,18.6,84.4,15,"310,000",81.2,3.5,15.4,24500,574.7
Hexham,E14000746,24.2,26.1,82,2,"214,225",78.8,3.9,17.8,23800,495.3
Heywood and Middleton,E14000747,17.1,18.8,77.9,7.8,"120,000",64.9,7.4,29.3,19400,252.5
High Peak,E14000748,18.7,20.7,81.6,2.1,"148,000",75.6,8,17.2,20900,386.3
Hitchin and Harpenden,E14000749,17.3,18.5,86.9,9.6,"300,750",75.9,5.4,11.8,28300,499.7
Holborn and St Pancras,E14000750,10.7,9.7,82.5,36.4,"520,000",61,8.7,14.8,28100,"1,275.40"
Hornchurch and Upminster,E14000751,20,21.3,81,10.2,"249,998",72.3,6.8,17.2,23600,312.7
Hornsey and Wood Green,E14000752,10,10.6,85.4,28.7,"399,995",73.7,7,21.4,28300,454.3
Horsham,E14000753,18.3,19.9,86.1,4.7,"282,500",80.6,6.4,11.3,26700,461.3
Houghton and Sunderland South,E14000754,19.5,21.9,74.4,1.6,"110,000",68.8,8.7,26.1,18900,143.5
Hove,E14000755,15,15.8,82.7,10.8,"249,950",77.6,6.4,20.1,23500,450.3
Huddersfield,E14000756,15.4,16.6,79.2,28.1,"111,500",60.5,10.4,29.9,18800,287.4
Huntingdon,E14000757,17.6,19.2,84.5,6.2,"190,000",86.7,3.6,14.8,22300,384.4
Hyndburn,E14000758,17.1,18.4,77.5,12.8,"88,500",67.2,9.6,30.6,17200,272.7
Ilford North,E14000759,13.8,14.5,82.2,47.5,"272,250",69.5,5.8,24.4,23100,336.3
Ilford South,E14000760,9.3,9.6,83.1,75.8,"250,000",67.3,9.3,32.5,21500,322.3
Ipswich,E14000761,15,16.3,81.6,11.7,"133,750",74.3,7.6,24.8,19300,268.4
Isle of Wight,E14000762,25.6,27.8,77.3,2.7,"174,000",70.2,8.5,25.7,18200,310
Islington North,E14000763,8.9,9,82,32.9,"415,000",74.7,5.8,19.1,27400,387.3
Islington South and Finsbury,E14000764,8.9,9,82.7,30.7,"529,000",69.4,6.5,18.8,30600,980.4
Jarrow,E14000765,18.8,20.9,76.4,2.4,"115,000",70.2,8.8,22.5,18900,176.3
Keighley,E14000766,18.7,20.3,81.2,16.4,"142,500",74.7,4.3,21.2,20500,330.7
Kenilworth and Southam,E14000767,23.1,25.1,84.5,4.3,"247,500",80.8,3.1,11.4,26000,567.6
Kensington,E14000768,12.6,10.8,86.1,32.1,"980,000",64.1,8.7,9.7,36000,733.9
Kettering,E14000769,17.2,19.2,82.4,6.1,"135,000",76.6,3.3,21.3,20000,333.2
Kingston and Surbiton,E14000770,13.3,14,85.5,25.1,"315,000",76.7,5.7,14,25900,427.5
Kingston upon Hull East,E14000771,16.2,18,77.2,2.7,"85,000",69.9,10.4,31,17800,178.7
Kingston upon Hull North,E14000772,12.4,13.8,80.3,7.6,"107,000",65.9,14,31.8,17600,133.4
Kingston upon Hull West and Hessle,E14000773,16.2,17.4,77,6.9,"92,000",62.5,11.9,27.5,16900,329.7
Kingswood,E14000774,17.9,19.5,83.3,4,"178,000",79.7,6.8,19.2,20700,255.6
Knowsley,E14000775,16.4,17.9,74.9,2.3,"100,000",64,10.8,36,19400,173.3
Lancaster and Fleetwood,E14000776,18,19.2,80.8,5.8,"125,000",66.5,6.9,20.6,19000,310
Leeds Central,E14000777,8.8,9.5,81.5,25.4,"93,000",55,17.3,23.3,18900,392.6
Leeds East,E14000778,14.8,16.2,78.7,22,"124,950",65.1,8.5,25.1,18600,177.6
Leeds North East,E14000779,15.6,17,82.3,29.7,"187,000",67.6,10.3,16.8,22700,263.7
